id,area,major_axis,minor_axis,angle,circularity,feret_diameter,aspect_ratio,roundness,solidity,defect_type
LR8.A.56,22697.18,295.035,97.951,100.332,0.304,331.19,3.012,0.332,0.647,Lack of Fusion
LR8.A.57,23512.72,274.455,109.079,143.423,0.304,329.04,2.516,0.397,0.578,Lack of Fusion
LR8.A.58,33939.29,278.52,155.151,154.418,0.221,410.057,1.795,0.557,0.543,Lack of Fusion
LR8.A.59,5190.9,125.708,52.576,118.813,0.366,148.504,2.391,0.418,0.728,Lack of Fusion
LR8.A.60,149731.45,801.746,237.786,18.759,0.112,1206.062,3.372,0.297,0.393,Lack of Fusion
LR8.A.61,49989.94,416.168,152.941,27.179,0.296,547.859,2.721,0.367,0.661,Lack of Fusion
LR8.A.62,14912.04,275.887,68.82,116.923,0.201,346.87,4.009,0.249,0.409,Lack of Fusion
LR8.A.63,25929.09,322.239,102.452,21.378,0.352,349.698,3.145,0.318,0.645,Lack of Fusion
LR8.A.64,37502.74,272.197,175.424,50.383,0.179,461.593,1.552,0.644,0.474,Lack of Fusion
LR8.A.65,4745.62,165.059,36.607,90.04,0.406,160.045,4.509,0.222,0.868,Lack of Fusion
LR8.A.66,44149.27,464.866,120.922,18.637,0.227,626.53,3.844,0.26,0.716,Lack of Fusion
LR8.A.67,60789.19,340.467,227.332,50.064,0.211,499.784,1.498,0.668,0.578,Lack of Fusion
LR8.A.68,16356.78,187.431,111.114,74.386,0.191,278.17,1.687,0.593,0.581,Lack of Fusion
LR8.A.69,294.03,20.958,17.863,162.451,0.928,22.273,1.173,0.852,0.935,Pore
LR8.A.70,87341.43,375.095,296.476,138.888,0.134,614.572,1.265,0.79,0.426,Lack of Fusion
LR8.A.71,531.19,30.537,22.148,66.295,0.884,31.729,1.379,0.725,0.949,Pore
LR8.A.72,1931.16,52.401,46.924,37.956,0.881,54.347,1.117,0.895,0.959,Pore
LR8.A.73,688.49,30.305,28.926,174.382,0.952,32.07,1.048,0.955,0.965,Pore
LR8.A.74,292.82,19.413,19.205,100.724,0.924,20.755,1.011,0.989,0.922,Pore
LR8.A.75,2619.65,107.576,31.006,20.353,0.223,129.057,3.47,0.288,0.496,Lack of Fusion
LR8.A.76,24668.27,410.636,76.488,1.137,0.153,455.15,5.369,0.186,0.504,Lack of Fusion
LR8.A.77,154607.75,622.443,316.258,43.055,0.073,995.191,1.968,0.508,0.408,Lack of Fusion
LR8.A.78,1312.85,72.739,22.98,88.62,0.517,74.101,3.165,0.316,0.833,Lack of Fusion
LR8.A.79,99418.44,646.945,195.663,34.026,0.128,860.065,3.306,0.302,0.531,Lack of Fusion
LR8.A.80,130626.76,669.281,248.504,105.344,0.083,953.751,2.693,0.371,0.402,Lack of Fusion
LR8.A.81,114.95,13.328,10.981,153.563,0.89,14.962,1.214,0.824,0.9,Pore
LR8.A.82,32504.23,225.862,183.235,127.126,0.652,271.513,1.233,0.811,0.9,Lack of Fusion
LR8.A.83,632.83,28.938,27.843,97.535,0.899,30.024,1.039,0.962,0.941,Pore
LR8.A.84,22168.41,237.649,118.771,41.432,0.496,262.098,2.001,0.5,0.761,Lack of Fusion
LR8.A.85,32328.78,344.079,119.63,172.964,0.242,418.093,2.876,0.348,0.511,Lack of Fusion
LR8.A.86,6087.51,128.616,60.264,149.006,0.425,147.699,2.134,0.469,0.683,Lack of Fusion
LR8.A.87,36261.28,262.664,175.773,83.88,0.217,406.424,1.494,0.669,0.465,Lack of Fusion
LR8.A.88,10138.59,139.182,92.748,154.88,0.405,176.672,1.501,0.666,0.74,Lack of Fusion
LR8.A.89,442.86,28.084,20.078,45.549,0.825,30.024,1.399,0.715,0.928,Pore
LR8.A.90,18660.62,174.682,136.015,7.675,0.257,218.809,1.284,0.779,0.711,Lack of Fusion
LR8.A.91,10777.47,164.049,83.647,135.67,0.64,168.358,1.961,0.51,0.894,Lack of Fusion
LR8.A.92,2248.18,78.642,36.399,85.224,0.649,81.05,2.161,0.463,0.913,Lack of Fusion
